Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
51,Arkansas,SEC,,6,6,3.82,0.97,4.79,50.51,5.90,10.39,5.42,6.52,2.12,8.31,3.65
52,Memphis,American,25,10,2,4.43,0.36,4.79,46.23,10.20,8.40,5.59,6.01,2.77,7.16,4.50
53,Texas Tech,Big 12,,8,4,11.12,-7.00,4.12,53.41,16.83,8.77,5.97,5.51,3.23,7.22,4.65
54,Marshall,Sun Belt (East),,9,3,3.56,0.07,3.63,44.96,11.51,8.32,5.49,6.01,3.47,7.03,4.31
55,Ohio,MAC,,9,3,-1.43,4.93,3.50,38.74,7.67,8.60,5.49,5.91,2.66,6.98,4.00
56,Wisconsin,Big Ten,,5,7,-1.67,5.04,3.37,41.89,5.13,8.61,4.50,5.78,3.09,7.08,3.71
57,North Carolina,ACC,,6,6,6.76,-3.46,3.30,49.04,13.12,9.31,6.38,6.32,3.02,7.61,4.45
58,UCLA,Big Ten,,5,7,-0.26,3.45,3.18,41.17,5.23,10.15,4.71,4.75,1.92,7.52,3.47
59,Cincinnati,Big 12,,5,7,0.57,2.37,2.94,42.67,6.73,9.29,5.71,6.87,3.47,7.98,4.40
60,California,ACC,,6,6,-0.62,3.52,2.90,41.22,5.28,9.15,4.77,4.78,2.22,6.97,3.51
61,Kentucky,SEC,,4,8,-2.04,4.93,2.89,43.37,1.46,9.35,5.35,5.94,2.92,7.34,3.85
62,Texas State,Sun Belt (West),,7,5,4.56,-1.67,2.89,48.55,12.44,9.34,5.33,6.01,2.92,7.49,4.03
63,Miami (OH),MAC,,8,4,-3.38,6.25,2.87,37.44,5.36,9.30,4.47,5.46,2.79,7.39,3.59
64,James Madison,Sun Belt (East),,8,4,0.44,2.39,2.82,43.09,8.91,8.24,4.93,5.33,2.74,6.65,3.80
65,Bowling Green,MAC,,7,5,0.11,2.46,2.57,38.88,8.66,8.63,5.12,5.24,3.43,6.91,4.17
66,UCF,Big 12,,4,8,2.96,-0.60,2.36,48.78,10.50,9.90,4.95,7.21,2.40,8.30,3.56
67,Utah,Big 12,,5,7,-3.18,5.27,2.10,39.37,3.43,8.71,4.24,5.14,2.65,6.82,3.35
68,Georgia Southern,Sun Belt (East),,8,4,2.02,-0.07,1.96,41.62,11.85,8.19,6.05,4.71,3.85,6.48,4.96
