team_id,school,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
46,Davidson,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Dayton,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Delaware,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Deleware State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Drake,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,Duke,0,26.388671875,9,1,0,0,2.05,3.85,5.9,42.19,5.34,8.59,4.16,4.48,2.51,6.67,3.2
52,Duquesne,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,East Carolina,0,29.875,5,1,0,0,0.93,-3.85,-2.92,41.71,16.1,9.19,5.47,5.23,2.73,7.04,4.16
54,East Tennessee State,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,Eastern Illinois,0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Eastern Kentucky,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,Eastern Michigan,0,20.00390625,4,5,0,0,-2.5,-6.5,-9.0,35.79,17.77,8.0,7.38,4.23,3.74,6.07,5.24
58,Eastern Washington,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Elon,0,1.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Florida A&M,0,4.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,Florida Atlantic,0,40.53125,1,5,0,0,-5.89,-6.0,-11.89,35.64,18.57,8.4,5.8,6.01,3.98,6.93,4.96
62,Florida,0,26.849609375,4,5,0,0,5.71,4.07,9.78,50.42,2.25,10.91,4.68,6.29,2.2,8.29,3.26
63,Florida International,0,31.3984375,2,5,0,0,-4.4,-7.4,-11.79,34.95,17.39,9.49,5.11,4.23,4.08,6.69,4.54
64,Florida State,0,9.388671875,0,9,0,0,-7.69,3.92,-3.77,35.12,6.42,8.29,5.23,4.51,2.98,6.26,3.86
65,Fordham,0,8.5,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,Fresno State,0,20.0625,2,3,0,0,-3.09,0.38,-2.71,38.47,12.85,8.85,4.4,4.14,2.89,6.52,3.74
67,Furman,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,Gardner Webb,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,Georgetown,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,Georgia,0,45.2421875,8,0,0,0,10.45,6.34,16.79,56.03,-0.66,10.12,4.03,5.94,2.12,8.26,3.04
71,Georgia Southern,0,28.5625,3,1,0,0,2.02,-0.07,1.96,41.62,11.85,8.19,6.05,4.71,3.85,6.48,4.96
72,Georgia State,0,22.40234375,0,9,0,0,-2.06,-7.46,-9.52,37.64,18.65,8.11,6.41,5.28,4.04,6.83,5.01
73,Georgia Tech,0,32.0078125,4,4,0,0,3.83,3.87,7.7,47.27,4.39,9.65,5.21,6.29,2.66,7.82,3.88
74,Grambling,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,Hampton,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,Harvard,1,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,Hawaii,0,26.0234375,1,6,0,0,-6.86,-0.24,-7.1,32.28,13.22,8.11,5.47,4.22,3.55,6.35,4.47
78,Holy Cross,0,7.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
