game_id,Team,Opponent,Result,HomeTeamAdvantage,PrevWeekBYE,RunningAvgScore,Wins,Losses,Home_Win_Rate,Away_Win_Rate,OSRS,DSRS,SRS,Off_Score,Def_Score,Off_Pass,Def_Pass,Off_Rush,Def_Rush,Off_Total,Def_Total
1390,53,179,0,1,1,19.166666666666668,1,5,0.3333333333333333,0.0,-9.5,0.24,-9.26,31.73,9.93,6.51,6.4,4.69,2.47,5.54,4.31
1391,179,53,1,0,1,33.333333333333336,4,2,1.0,0.3333333333333333,1.04,6.37,7.41,50.05,5.32,9.37,4.8,5.21,2.53,7.11,3.58
1392,80,250,1,1,1,29.666666666666668,3,3,0.75,0.0,-0.29,-2.24,-2.54,40.65,13.32,8.73,6.37,5.05,2.96,6.9,4.48
1393,250,80,0,0,1,28.5,4,2,1.0,0.3333333333333333,5.49,1.54,7.03,47.41,8.75,9.59,5.76,6.46,3.02,7.64,4.34
1396,41,200,0,1,0,34.42857142857143,4,3,0.5,0.6666666666666666,6.37,-5.4,0.98,47.22,16.38,9.62,5.79,3.82,3.43,7.05,4.41
1397,200,41,1,0,1,23.666666666666668,2,4,0.0,0.6666666666666666,-3.02,-1.74,-4.76,37.51,16.35,8.66,5.9,4.76,3.47,6.71,4.5
1398,66,236,1,0,0,34.0,6,1,1.0,0.75,0.29,-0.83,-0.54,40.4,12.64,8.12,5.43,4.36,3.24,6.47,4.33
1399,236,66,0,1,0,37.285714285714285,3,4,0.5,0.3333333333333333,6.02,-11.99,-5.97,46.24,24.56,8.88,5.5,5.89,4.14,7.19,4.89
1400,115,222,0,1,1,34.0,4,2,0.75,0.5,11.2,-4.9,6.29,51.9,16.18,9.47,6.49,5.55,3.56,7.59,5.09
1401,222,115,1,0,1,30.0,5,1,0.75,1.0,-1.07,5.06,3.99,37.79,5.46,9.27,5.41,5.06,2.46,6.8,4.0
1404,2,258,1,1,1,37.0,6,0,1.0,1.0,-1.51,4.75,3.25,39.95,7.21,11.89,5.71,5.97,2.27,6.77,3.97
1405,258,2,0,0,0,26.285714285714285,5,2,1.0,0.0,-1.87,3.05,1.18,37.81,8.83,8.39,4.76,5.33,3.2,6.5,4.09
1406,3,33,0,0,0,15.571428571428571,1,6,0.3333333333333333,0.0,-11.93,-6.71,-18.64,26.25,20.54,6.37,6.18,3.64,3.38,5.14,4.65
1407,33,3,1,1,0,22.714285714285715,4,3,1.0,0.25,-2.6,-10.58,-13.18,35.01,22.25,8.06,7.73,5.22,3.87,6.36,5.72
1410,5,11,1,1,0,30.142857142857142,6,1,0.75,1.0,8.41,9.75,18.16,52.89,-1.54,11.5,4.08,5.88,2.19,7.88,3.15
1411,11,5,0,0,0,29.857142857142858,2,5,0.6666666666666666,0.0,0.81,-0.61,0.2,42.87,11.32,8.66,5.45,4.68,3.22,6.3,4.21
1414,10,248,1,0,0,31.857142857142858,4,3,0.6666666666666666,0.5,8.33,5.48,13.8,50.88,4.0,10.69,5.15,5.75,2.69,8.35,3.85
1415,248,10,0,1,0,34.333333333333336,4,2,0.75,0.5,4.87,-0.64,4.23,48.48,10.9,9.94,5.24,4.28,3.16,7.56,3.99
1418,14,99,0,0,1,27.666666666666668,3,3,0.6666666666666666,0.3333333333333333,-1.93,5.94,4.01,42.06,3.55,8.46,5.0,6.02,3.03,6.93,3.91
1419,99,14,1,1,0,45.285714285714285,5,2,1.0,0.5,16.27,-1.6,14.66,64.79,11.31,12.71,5.91,7.53,3.26,10.0,4.74
1422,16,206,0,0,1,27.666666666666668,4,2,1.0,0.3333333333333333,-1.28,0.36,-0.92,39.87,11.99,7.88,5.19,4.62,3.6,6.22,4.42
1423,206,16,1,1,0,33.142857142857146,4,3,0.6,0.5,5.78,0.62,6.4,48.32,8.9,9.27,5.78,5.79,2.98,7.6,4.23
1424,17,219,0,1,0,15.0,1,6,0.3333333333333333,0.0,-11.49,0.75,-10.74,29.01,13.5,6.4,5.84,5.25,2.59,5.65,4.25
1425,219,17,1,0,0,36.85714285714285,6,1,1.0,0.6666666666666666,1.91,0.29,2.2,43.03,11.83,9.34,5.61,6.12,3.05,7.41,4.29
1428,20,42,0,0,0,29.714285714285715,3,4,0.6666666666666666,0.25,4.22,0.58,4.8,45.22,10.57,9.93,6.11,6.24,2.97,7.69,4.65
1429,42,20,1,1,0,31.0,3,3,0.6666666666666666,0.3333333333333333,-1.47,-5.88,-7.35,36.94,17.18,8.62,6.04,4.07,3.49,6.69,4.69
1430,22,26,1,0,0,19.571428571428573,3,4,0.5,0.4,-0.73,-1.32,-2.04,38.38,13.53,8.12,5.89,5.1,3.1,6.4,4.44
1431,26,22,0,1,0,26.142857142857142,2,5,0.25,0.3333333333333333,-6.61,-5.71,-12.32,31.8,18.66,6.64,6.04,4.63,4.19,5.56,5.12
1442,29,238,0,0,0,29.857142857142858,3,4,0.5,0.3333333333333333,5.93,-4.07,1.86,47.33,14.53,8.6,5.52,5.69,2.48,7.05,3.96
1443,238,29,1,1,1,21.666666666666668,5,1,1.0,0.5,-3.28,10.25,6.97,39.81,-0.15,8.43,4.62,5.47,1.97,6.62,3.36
1450,35,135,0,1,1,15.333333333333334,1,5,0.3333333333333333,0.0,-9.37,-3.54,-12.91,29.98,15.13,7.11,6.3,4.87,3.65,5.73,4.83
1451,135,35,1,0,0,20.33333333333333,3,3,0.6666666666666666,0.3333333333333333,-9.97,4.15,-5.82,29.27,9.08,7.53,6.31,5.12,2.61,5.82,4.47
1454,37,90,0,1,1,26.666666666666668,2,4,0.25,0.5,-3.16,-2.85,-6.01,39.96,13.99,8.41,6.25,6.2,4.22,7.1,5.19
1455,90,37,1,0,0,23.0,4,3,0.75,0.3333333333333333,1.84,5.36,7.2,43.29,4.88,10.01,5.01,5.22,2.61,7.5,3.83
1466,51,134,1,1,1,31.166666666666668,5,1,0.8,1.0,2.92,6.1,9.02,44.78,3.32,8.53,4.76,6.42,2.82,7.3,3.8
1467,134,51,0,0,0,25.428571428571427,4,3,0.5,0.6666666666666666,1.77,5.65,7.41,43.25,3.77,8.65,4.94,5.62,2.56,6.89,3.92
1474,57,97,1,1,0,19.0,4,3,1.0,0.0,-9.71,-4.44,-14.16,27.94,18.69,6.31,6.73,4.16,3.97,5.11,5.26
1475,97,57,0,0,0,13.428571428571429,1,6,0.5,0.0,-12.52,-9.82,-22.33,27.03,26.99,7.83,7.77,3.78,4.01,5.42,5.61
1480,61,192,1,0,0,26.5,3,3,0.6666666666666666,0.3333333333333333,-5.1,-1.91,-7.01,35.97,14.11,7.54,6.24,4.87,2.95,6.21,4.52
1481,192,61,0,1,0,28.571428571428573,3,4,0.5,0.3333333333333333,2.65,-7.57,-4.92,43.66,20.79,8.98,7.01,5.06,3.25,6.74,5.16
1482,62,188,1,0,0,29.142857142857142,5,2,1.0,0.3333333333333333,4.21,-0.91,3.31,46.49,8.98,10.04,6.14,5.66,3.49,7.67,4.73
1483,188,62,0,1,1,29.0,2,4,0.6666666666666666,0.0,1.36,0.98,2.33,44.03,7.75,10.17,5.42,4.29,2.44,7.3,3.85
1484,64,205,1,1,0,42.16666666666666,6,0,1.0,1.0,6.24,10.28,16.51,51.34,1.83,9.82,4.09,5.88,2.66,7.71,3.38
1485,205,64,0,0,0,28.714285714285715,4,3,0.75,0.3333333333333333,-7.34,4.4,-2.93,37.1,10.2,8.5,5.55,5.29,2.55,6.47,4.08
1492,70,241,1,0,0,40.142857142857146,7,0,1.0,1.0,8.61,11.39,20.0,57.42,-2.04,11.31,3.61,6.6,2.4,8.78,3.11
1493,241,70,0,1,0,27.75,2,6,0.4,0.0,-1.83,-7.38,-9.2,40.36,18.31,8.55,5.61,4.64,3.91,6.65,4.85
1494,71,93,0,0,1,31.33333333333333,4,2,1.0,0.3333333333333333,0.99,-6.71,-5.71,41.84,19.44,8.14,6.61,5.21,3.58,6.87,5.05
1495,93,71,1,1,1,34.5,6,0,1.0,1.0,3.99,4.54,8.53,45.94,7.12,10.0,5.51,5.01,1.51,7.37,3.83
1496,72,111,1,1,1,32.666666666666664,5,1,0.75,1.0,-0.35,-2.89,-3.24,38.91,16.23,8.61,6.78,5.85,3.1,6.92,4.97
1497,111,72,0,0,0,30.33333333333333,4,2,1.0,0.3333333333333333,-2.58,-3.32,-5.91,36.4,15.34,8.27,5.49,5.07,3.2,6.52,4.34
1502,77,184,0,1,1,23.857142857142858,2,5,0.5,0.0,-4.87,-5.91,-10.79,33.77,20.17,8.01,6.78,3.74,3.56,6.26,4.97
1503,184,77,1,0,1,22.428571428571427,3,4,0.5,0.3333333333333333,-5.83,-2.78,-8.61,33.73,14.89,7.95,5.87,5.14,4.06,6.26,5.08
1508,84,112,1,0,0,20.285714285714285,3,4,0.5,0.3333333333333333,3.82,-4.24,-0.42,43.24,13.9,9.62,5.47,5.47,2.62,7.53,4.03
1509,112,84,0,1,0,33.42857142857143,5,2,0.8,0.5,7.03,2.71,9.74,48.52,7.87,9.64,5.01,5.19,2.37,7.6,3.69
1514,87,121,0,0,1,18.5,2,4,0.6666666666666666,0.0,0.3,-2.78,-2.49,41.12,13.77,8.98,6.22,5.01,3.05,6.79,4.46
1515,121,87,1,1,0,39.42857142857143,7,0,1.0,1.0,8.53,16.48,25.01,55.91,-6.16,11.0,4.11,6.15,1.83,8.03,2.98
1516,89,256,1,0,0,20.857142857142858,6,1,1.0,0.6666666666666666,-7.03,13.29,6.26,33.32,-2.0,6.71,3.49,4.88,1.76,5.6,2.69
1517,256,89,0,1,0,27.166666666666668,4,2,0.75,0.5,-0.34,6.16,5.82,40.64,4.15,8.1,4.95,5.96,2.68,6.96,3.75
1518,94,160,0,0,0,35.42857142857143,5,2,1.0,0.3333333333333333,8.71,0.34,9.06,50.83,9.25,11.65,5.64,6.38,3.21,8.37,4.32
1519,160,94,1,1,0,26.0,4,2,0.75,0.5,5.85,0.6,6.45,47.03,10.23,8.55,6.64,6.09,3.18,7.35,4.85
1520,95,217,1,0,0,36.16666666666666,4,2,1.0,0.3333333333333333,9.06,6.56,15.63,55.33,3.48,9.07,4.59,6.33,3.45,7.49,4.12
1521,217,95,0,1,0,32.285714285714285,3,4,0.5,0.3333333333333333,2.9,4.04,6.94,44.39,7.11,7.98,4.69,5.61,2.9,6.71,3.8
1522,98,127,0,1,0,31.285714285714285,5,2,0.8,0.5,5.01,0.34,5.35,47.33,9.9,9.47,5.48,6.39,2.12,7.9,3.83
1523,127,98,1,0,0,33.857142857142854,6,1,0.75,1.0,8.13,8.23,16.36,49.69,0.45,11.0,4.44,5.7,2.43,7.92,3.39
1528,108,167,0,0,0,34.142857142857146,6,1,1.0,0.75,3.33,7.09,10.42,47.13,2.77,10.06,5.33,5.95,1.78,7.71,3.59
1529,167,108,1,1,1,25.83333333333333,2,4,0.5,0.0,-4.47,1.19,-3.28,37.34,10.2,9.05,6.12,4.65,2.02,6.77,3.76
1532,113,165,0,0,0,22.875,1,7,0.0,0.25,-1.35,-11.22,-12.57,37.05,26.67,8.56,7.39,5.32,4.38,6.8,5.75
1533,165,113,1,1,1,44.333333333333336,6,0,1.0,1.0,5.2,13.03,18.23,54.24,-2.47,8.73,4.74,6.1,1.23,7.25,2.81
1534,118,254,1,0,0,31.571428571428573,6,1,1.0,0.8,-4.53,6.28,1.75,35.31,6.37,8.94,5.8,5.18,2.74,6.53,4.2
1535,254,118,0,1,0,24.857142857142858,2,5,0.6666666666666666,0.0,-1.19,-10.27,-11.46,37.84,24.21,7.9,7.39,5.06,3.75,6.27,5.59
1536,119,146,0,0,0,37.66666666666666,4,2,0.75,0.5,4.64,3.33,7.97,48.16,6.75,9.52,5.48,6.36,2.07,7.87,3.82
1537,146,119,1,1,0,37.333333333333336,6,0,1.0,1.0,7.55,-1.54,6.01,50.75,11.68,10.31,5.69,6.27,2.94,8.13,4.28
1538,120,177,0,0,1,22.0,2,4,0.5,0.0,-4.57,3.02,-1.54,36.16,12.08,8.55,6.25,4.47,2.91,6.45,4.46
1539,177,120,1,1,0,27.714285714285715,5,2,1.0,0.0,0.5,4.43,4.93,42.68,5.43,8.1,4.62,5.9,2.94,6.72,3.7
1546,137,231,0,1,1,17.333333333333332,0,6,0.0,0.0,-12.92,-2.88,-15.8,26.54,18.47,7.24,7.14,4.03,4.39,5.43,5.57
1547,231,137,1,0,1,37.5,5,1,1.0,0.6666666666666666,7.07,-4.68,2.39,47.47,16.24,9.74,7.13,5.31,3.38,7.2,5.11
1550,139,186,0,1,1,27.83333333333333,2,4,0.3333333333333333,0.3333333333333333,-2.6,-7.37,-9.97,38.07,22.56,8.57,7.51,5.97,4.13,7.09,5.61
1551,186,139,1,0,0,31.428571428571427,2,5,0.3333333333333333,0.25,0.11,1.07,1.18,43.3,10.43,8.82,4.59,6.41,3.35,7.49,3.98
1558,149,208,1,1,0,35.666666666666664,3,3,0.6666666666666666,0.3333333333333333,5.93,-13.1,-7.17,44.83,25.2,9.04,6.84,5.96,4.96,7.49,5.6
1559,208,149,0,0,0,21.857142857142858,2,5,0.5,0.0,-7.69,-6.71,-14.4,31.95,22.03,7.69,7.73,4.37,3.65,6.31,5.25
1564,152,157,1,1,0,24.857142857142858,3,4,0.3333333333333333,0.5,-4.52,-2.46,-6.97,34.19,14.18,7.51,5.83,5.8,3.51,6.5,4.64
1565,157,152,0,0,0,22.857142857142858,5,2,1.0,0.5,-5.28,4.62,-0.66,33.64,8.18,7.8,5.86,4.59,2.64,5.96,4.3
1568,156,232,1,1,0,35.875,6,2,0.75,0.75,7.31,9.48,16.79,56.43,0.72,10.88,3.71,6.73,2.37,8.5,3.04
1569,232,156,0,0,0,47.285714285714285,6,1,1.0,0.6666666666666666,16.66,-7.07,9.59,61.0,16.01,11.66,5.62,6.29,3.48,9.18,4.35
1570,158,172,1,0,0,36.0,6,0,1.0,1.0,4.02,16.23,20.26,49.0,-6.57,10.77,3.31,5.64,2.16,8.07,2.71
